category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
outdoor,Dreame,Roboticmower A1 Pro,~1700 USD,12.6 kg,medium,90-120 min,,consumer;lawn-mow;lidar;autonomous-nav;obstacle-avoidance;app-control;self-charging;mapping,none,,,0.6 m/s,Slopes up to 45% (24°),IPX6,,https://dreame.com.au/products/dreame-roboticmower-a1-pro,images/outdoor/dreame-roboticmower-a1-pro.webp,,,"3D LiDAR mower (2025), 2,000 m² coverage, 45% slopes, 22 cm cut, IPX6, hub motor under 55 dB",2025
outdoor,Dreame,A2,~3000 USD,16.3 kg,medium,,,consumer;lawn-mow;lidar;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging;mapping,none,,,,Slopes up to 50% (26.5°),IPX6,,https://global.dreametech.com/products/a2,images/outdoor/dreame-a2.webp,,,"3D LiDAR + AI camera mower, 3,000 m² coverage, 50% slopes, dual-map support, IPX6, under 55 dB",2024
outdoor,ECOVACS,GOAT GX-600,1300 USD,20 kg,medium,85 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,Slopes up to 40% (22°),,,https://www.ecovacs.com/us/shop/goat-robotic-lawn-mower/goat-gx,images/outdoor/ecovacs-goat-gx-600.webp,,,"Vision-nav mower for 600 m² lawns, 150° fisheye AI camera, 40% slopes, no RTK station needed",2024
outdoor,ECOVACS,GOAT A1600 RTK,~1600 USD,15.8 kg,medium,~120 min,,consumer;lawn-mow;lidar;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,,,,https://www.ecovacs.com/global/goat-robotic-lawn-mower/goat-a1600-rtk-white,images/outdoor/ecovacs-goat-a1600-rtk.webp,,,"RTK + 3D ToF LiDAR + camera mower for 1,600 m², 33 cm cut, 5 cm edge mowing, 45-min fast charge",2025
outdoor,Sunseeker,Orion X7,2699 USD,,medium,,,consumer;lawn-mow;all-terrain;visual-slam;ai-powered;autonomous-nav;obstacle-avoidance;app-control,none,,,1.0 m/s,Slopes up to 70%,,,https://shopsunseekertech.com/products/orion-x7-robotic-lawn-mower,images/outdoor/sunseeker-orion-x7.webp,,,"AWD RTK+VSLAM mower for 0.75 acre, 70% slopes, 36 cm dual floating decks, 3D binocular AI vision",2024
outdoor,Worx,Landroid Vision WR235 (1 Acre),2299 USD,,medium,~120 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,,IPX5,,https://www.worx.com/landroid-vision-20v-boundaryless-robotic-lawn-mower-1-acre-wr235.html,images/outdoor/worx-landroid-vision-wr235-1-acre.webp,,,"Camera-only boundaryless mower for 1 acre, HDR AI vision, no wire or RTK, IPX5 hose-washable",2023
outdoor,Husqvarna,Automower 450X EPOS,3300 USD,16 kg,medium,,,consumer;lawn-mow;autonomous-nav;app-control;self-charging;mapping,none,,,,,,,https://www.husqvarna.com/us/robotic-lawn-mowers/automower-450x-epos/,images/outdoor/husqvarna-automower-450x-epos.webp,,,"Satellite EPOS virtual-boundary mower for 1.25 acres, 24 cm cut, wire-free, 16 kg",2022
outdoor,Husqvarna,Automower 440 iQ,4299 USD,19 kg,medium,138 min,,consumer;lawn-mow;autonomous-nav;app-control;self-charging;mapping,none,,,,,,,https://www.husqvarna.com/us/robotic-lawn-mowers/automower-440-iq/,images/outdoor/husqvarna-automower-440-iq.webp,,,"2025 iQ-series wire-free mower, EPOS satellite nav with reference station, virtual boundaries",2025
outdoor,Eufy,Robot Lawn Mower E15,1799 USD,11 kg,medium,110 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging;wifi,none,,,,Slopes up to 40% (18°),,,https://www.eufy.com/products/t28801a1,images/outdoor/eufy-robot-lawn-mower-e15.webp,,,"Pure-vision FSD mower for 800 m², no wire or RTK, 40% slopes, 2.5-7.5 cm cut, rain detection",2025
outdoor,Eufy,Robot Lawn Mower E18,1999 USD,12.5 kg,medium,90-110 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging;wifi,none,,,,Slopes up to 40% (18°),,,https://www.eufy.com/products/t28011a1,images/outdoor/eufy-robot-lawn-mower-e18.webp,,,"Pure-vision FSD mower for 1,200 m², camera-only nav without wires or RTK, 40% slopes",2025
outdoor,Lymow,Lymow One,2999 USD,35.2 kg,medium,180 min,,consumer;lawn-mow;all-terrain;visual-slam;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,1.0 m/s,"Steep slopes, 5 cm obstacles, tracked drive",,,https://www.lymow.com/products/lymow-one,images/outdoor/lymow-lymow-one.webp,,,"Tank-track RTK+VSLAM mower, 1.73 acres, 40 cm mulching deck at 6,000 RPM, LiFePO4 battery",2024
outdoor,Airseekers,Tron,1999 USD,,medium,3 hours,180 min,consumer;lawn-mow;ai-powered;visual-slam;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,Slopes up to 65% (33°),,,https://airseekers-robotics.com/products/airseekers-tron-robotic-lawn-mower,images/outdoor/airseekers-tron.webp,,,"5-camera AI vision + RTK mower for 2,400 m², 65% slopes, FlowCut mulching, 3 h runtime, 65 dB",2025
outdoor,Heisenberg Robotics,LawnMeister H1 Pro,2499 USD,,medium,4 hours,240 min,consumer;lawn-mow;garden;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,,IPX6,,https://heisenberg-robotics.com/products/h1-pro,images/outdoor/heisenberg-robotics-lawnmeister-h1-pro.webp,,,"Modular vision-AI yard robot: mows, edge-trims, blows leaves, fertilizes; IPX6, up to 4 h runtime",2023
outdoor,Hookii,Neomow X,2299 USD,,medium,2-3 hours,,consumer;lawn-mow;lidar;mapping;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,"Slopes up to 45% (24°), 5 cm bumps",,,https://hookii.com/products/neomow-x-robotic-lawn-mower,images/outdoor/hookii-neomow-x.webp,,,"3D LiDAR SLAM mower for up to 1.5 acres, no satellite needed, 45% slopes, detects 1 cm obstacles",2024
outdoor,Roborock,RockMow Z1,Not disclosed,,medium,up to 140 min,,consumer;lawn-mow;all-terrain;visual-slam;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,"Slopes up to 80% (38.7°), 8 cm obstacles",,,https://garden.roborock.com/eu/products/roborock-rockmow-z1,images/outdoor/roborock-rockmow-z1.webp,,,"AWD mower with RTK+VSLAM Sentisphere nav, 80% slopes, 8 cm obstacles, up to 5,000 m²/day",2025
outdoor,Beatbot,AquaSense 2 Ultra,3550 USD,,small,4 hours,240 min,consumer;pool-clean;ai-powered;mapping;obstacle-avoidance;app-control,none,,,,,,,https://beatbot.com/products/aquasense-2-ultra,images/outdoor/beatbot-aquasense-2-ultra.webp,,,"5-in-1 AI pool robot: floor, walls, waterline, surface, clarifier; 27 sensors, 4 h floor runtime",2025
outdoor,Beatbot,iSkim Ultra,1499 USD,7.7 kg,54x51x23 cm,up to 9 hours,,consumer;pool-clean;autonomous-nav;app-control,none,,,,,,,https://beatbot.com/products/iskim-ultra,images/outdoor/beatbot-iskim-ultra.webp,,,"Solar-powered 24/7 surface skimmer, 9 L basket, 10,000 mAh, 20 sensors, clarifier dispenser",2024
outdoor,Aiper,Scuba X1 Pro Max,2299 USD,,small,5 hours,300 min,consumer;pool-clean;ai-powered;mapping;app-control;self-charging,none,,,,,,,https://aiper.com/us/aiper-scuba-series/aiper-scuba-x1-pro-max,images/outdoor/aiper-scuba-x1-pro-max.webp,,,"Flagship pool robot: 8,500 GPH, 9 motors, 40 sensors, self-docking surface retrieval, 3,230 sq ft",2025
outdoor,Aiper,Scuba V3,1199 USD,7.5 kg,small,,,consumer;pool-clean;ai-powered;obstacle-avoidance;app-control;self-charging,none,,,,,,,https://aiper.com/us/aiper-scuba-v3,images/outdoor/aiper-scuba-v3.webp,,,"AI vision pool cleaner recognizing 20+ debris types, 4,800 GPH, 7.5 kg, wireless charging dock",2025
outdoor,Wybot,S2 Solar,1800 USD,,small,2.5 hours,150 min,consumer;pool-clean;self-charging;autonomous-nav;app-control,none,,,,,,,https://www.wybotpool.com/products/wybot-s2-solar-with-solar-powered-charging-dock-cordless-robotic-pool-cleaner,images/outdoor/wybot-s2-solar.webp,,,"First underwater solar-charging pool robot, dual solar/DC dock, 2.5 h+ runtime, 300 m² coverage",2025
outdoor,Wybot,C2 Vision,~780 USD,,small,3 hours,180 min,consumer;pool-clean;ai-powered;app-control,none,,,,,,,https://www.wybotpool.com/products/wybot-c2-vision-cordless-robotic-pool-cleaner,images/outdoor/wybot-c2-vision.webp,,,"AI-camera pool cleaner spotting dirty zones, 3,592 GPH, 3 h battery, floors/walls/waterline",2025
outdoor,Maytronics,Dolphin Liberty 600,1579 USD,,small,4.5 hours,270 min,consumer;pool-clean;app-control;autonomous-nav,none,,,,,,,https://www.maytronics.com/en-us/store/residential-pools/cordless-cleaners/dolphin-liberty-600/99998600-US.html,images/outdoor/maytronics-dolphin-liberty-600.webp,,,"Cordless pool robot for floor, walls, waterline and steps; up to 4.5 h runtime, app control",2024
outdoor,Polaris,Freedom Plus,1699 USD,,small,2.5 hours,150 min,consumer;pool-clean;app-control;remote-control,none,,,,,,,https://www.polarispool.com/en/products/pool-cleaners/robotic-pool-cleaners/polaris-freedom-plus,images/outdoor/polaris-freedom-plus.webp,,,"Cordless pool robot, 4 cleaning modes floor-to-waterline, LiFi underwater remote, iAquaLink app",2024
outdoor,Mammotion,SPINO S1 Pro,2499 USD,,small,,,consumer;pool-clean;ai-powered;mapping;self-charging;app-control,none,,,,,IPX8,,https://mammotion.com/pages/spino-s1-pro-robotic-pool-cleaner,images/outdoor/mammotion-spino-s1-pro.webp,,,"CES 2026 pool robot with robot-arm self-docking AutoShoreCharge, 6,800 GPH, AI vision mapping",2026
outdoor,Direct Drive Tech,TITA,Not disclosed,,medium,,,research;dev-platform;all-terrain;obstacle-avoidance;programmable;remote-control;stair-climbing,,8,,5 m/s,"Stairs, curbs, rough terrain, -10~45°C",,,https://directdrive.com/product_TITA,images/outdoor/direct-drive-tech-tita.webp,,,"Wheel-legged robot, 8 direct-drive joints (120 N·m peak), 20 cm jumps, hot-swap battery, magnesium body",2023
outdoor,Direct Drive Tech,Diablo,Not disclosed,22.9 kg,medium,,,research;dev-platform;all-terrain;programmable;remote-control,,6,4 kg,2 m/s,"Slopes, curbs, uneven ground",,,https://directdrive.com/product_diablo,images/outdoor/direct-drive-tech-diablo.webp,,,"Two-wheel legged platform, 6 direct-drive joints, 2 m/s, 4 kg load, 8 cm jump, near-silent, 22.9 kg",2023
outdoor,Dreame,Roboticmower A1,~2100 USD,12 kg,medium,55 minutes,55 min,consumer;lawn-mow;garden;lidar;mapping;autonomous-nav;obstacle-avoidance;app-control;self-charging,,,,,"45% (24°) slopes, 4 cm obstacles",IPX6,,https://www.dreametech.com/products/dreame-smart-roboticmower-a1,images/outdoor/dreame-roboticmower-a1.webp,,,"Wire-free lawn mower, 3D lidar mapping, 22 cm cut, 45% slopes, up to 1000 m²/day, IPX6 washable",2023
outdoor,ECOVACS,GOAT G1,~1600 USD,23.4 kg,large,,,lawn-mow;garden;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,,,IPX6,,https://www.ecovacs.com/au/goat-robotic-lawn-mower/goat-g1,images/outdoor/ecovacs-goat-g1.webp,,,"Wire-free vision-navigation mower for 1,600 m2 lawns with AIVI 3D",2023
outdoor,ECOVACS,GOAT G1-800,~700 USD,23.2 kg,large,,,lawn-mow;garden;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,,,IPX6,,https://www.ecovacs.com/uk/goat-robotic-lawn-mower/goat-g1-800,images/outdoor/ecovacs-goat-g1-800.webp,,,"Camera-navigation wire-free mower for 800 m2 gardens, 16 zones",2024
outdoor,ECOVACS,GOAT O500 Panorama,~630 USD,11 kg,large,,,lawn-mow;garden;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,,,,,https://www.ecovacs.com/uk/goat-robotic-lawn-mower/goat-o500-panorama,images/outdoor/ecovacs-goat-o500-panorama.webp,,,"RTK-free LiDAR-vision mower for 500 m2, avoids 200+ obstacles",2025
outdoor,ECOVACS,GOAT O800 RTK,~890 USD,11.2 kg,large,65 min,,lawn-mow;garden;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,0.5 m/s,,,,https://www.ecovacs.com/global/goat-robotic-lawn-mower/goat-o800-rtk-white,images/outdoor/ecovacs-goat-o800-rtk.webp,,,"LiDAR-enhanced RTK mower, 2cm precision, 800 m2 coverage, 45% slopes",2025
outdoor,Anthbot,Genie 3000,1599 USD,13 kg,medium,240 min,,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://anthbot.com/products/genie-robot-lawn-mower,images/outdoor/anthbot-genie-3000.webp,,,Wire-free RTK+AI vision mower covering 0.89 acre with 300-degree obstacle detection.,2025
outdoor,Anthbot,Genie 600,999 USD,12 kg,medium,60 min,,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://anthbot.com/products/genie-robot-lawn-mower,images/outdoor/anthbot-genie-600.webp,,,Budget wire-free RTK mower with AI obstacle avoidance for 900 m2 lawns.,2025
outdoor,Kress,RTKn KR172,1699 USD,12 kg,medium,,,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;autonomous-nav;garden,,,,,,,,https://www.kress.com/en-us/kress-rtk%E2%81%BF-%C2%BD-acre-robotic-lawn-mower-kr172/,images/outdoor/kress-rtkn-kr172.webp,,,Antenna-free RTKn mower for half-acre lawns with centimeter-level accuracy.,2024
outdoor,Mammotion,LUBA 2 AWD 5000,2699 USD,19.1 kg,large,190 min,,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://mammotion.com/pages/luba-2-awd,images/outdoor/mammotion-luba-2-awd-5000.webp,,,All-wheel-drive RTK+vision mower for 1.25 acres and 80% slopes.,2024
outdoor,Segway,Navimow H210,1799 USD,,medium,110 min,,lawn-mow;consumer;app-control;wifi;mapping;lidar;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://navimow.com/products/navimow-h2-robot-lawn-mower,images/outdoor/segway-navimow-h210.webp,,,"Triple-fusion NRTK, LiDAR and vision mower detecting 1 cm obstacles.",2026
outdoor,Segway,Navimow i2 LiDAR (i215),1599 USD,,64x45x29 cm,160 min,,lawn-mow;consumer;app-control;wifi;mapping;lidar;obstacle-avoidance;autonomous-nav;garden,,,,,,,,https://navimow.com/products/navimow-i2-lidar-robot-lawn-mower,images/outdoor/segway-navimow-i2-lidar-i215.webp,,,"LiDAR plus vision mower for 0.37 acre, handles 45% slopes.",2026
outdoor,Segway,Navimow i105N,999 USD,10.9 kg,55x39x28 cm,60 min,60 min,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;autonomous-nav;garden,,,,,,,,https://navimow.com/pages/navimow-i-specs,images/outdoor/segway-navimow-i105n.webp,,,Entry-level wire-free RTK+vision mower for 1/8-acre lawns.,2024
outdoor,Sunseeker,X3 Plus,1599 USD,,medium,120 min,120 min,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://shopsunseekertech.com/products/x3-plus-wireless-robot-lawn-mower-l-0-3-acre,images/outdoor/sunseeker-x3-plus.webp,,,RTK plus vision SLAM mower for 0.3 acre with edge cutting.,2025
outdoor,Sunseeker,V3,999 USD,9.2 kg,small,42 min,,lawn-mow;consumer;app-control;wifi;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,0.35 m/s,,,,https://shopsunseekertech.com/products/v3-robot-lawn-mower-0-15acre-readygo,images/outdoor/sunseeker-v3.webp,,,"Compact vision-AI mower for small 0.15-acre yards, one-click start.",2025
outdoor,Sunseeker,X5,1999 USD,11 kg,medium,,,lawn-mow;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://shopsunseekertech.com/products/x5-wireless-robot-lawn-mower-0-5-acres,images/outdoor/sunseeker-x5.webp,,,Wireless AI mower covering half-acre lawns with RTK navigation.,2025
outdoor,Worx,Landroid Vision M600 (WR206E),~1100 USD,14.4 kg,63x46x27 cm,,,lawn-mow;consumer;app-control;wifi;obstacle-avoidance;ai-powered;autonomous-nav;garden,,,,,,,,https://eu.worx.com/en/worx-landroid-vision-m600-wr206e/,images/outdoor/worx-landroid-vision-m600-wr206e.webp,,,"Camera-only wire-free mower for 600 m2, no satellite antenna needed.",2023
outdoor,Beatbot,AquaSense 2,1599 USD,10.5 kg,medium,240 min,240 min,pool-clean;consumer;app-control;wifi;mapping;obstacle-avoidance;autonomous-nav,,,,,,,,https://beatbot.com/products/aquasense-2,images/outdoor/beatbot-aquasense-2.webp,,,3-in-1 cordless pool cleaner with water-surface self-parking.,2025
outdoor,Beatbot,AquaSense 2 Pro,~2199 USD,12.1 kg,medium,240 min,240 min,pool-clean;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,,,,,https://beatbot.com/products/aquasense-2-pro,images/outdoor/beatbot-aquasense-2-pro.webp,,,"5-in-1 cleaner for floor, walls, waterline, surface and water clarification.",2025
outdoor,Aiper,Scuba X1,1499 USD,,medium,180 min,180 min,pool-clean;consumer;app-control;wifi;obstacle-avoidance;autonomous-nav,,,,,,,,https://aiper.com/us/aiper-scuba-series/aiper-scuba-x1,images/outdoor/aiper-scuba-x1.webp,,,6600 GPH cordless cleaner with waterline scrubbing and smart paths.,2024
outdoor,Wybot,M2 Vision,~1300 USD,,medium,300 min,300 min,pool-clean;consumer;app-control;wifi;mapping;obstacle-avoidance;ai-powered;autonomous-nav,,,,,,,,https://www.wybotpool.com/products/wybot-m2-high-end-cordless-robotic-pool-cleaner,images/outdoor/wybot-m2-vision.webp,,,"AI-camera pool robot spotting debris, 5-hour runtime, 4305 sq ft coverage.",2024
outdoor,Wybot,S2 Pro,1599 USD,,medium,210 min,210 min,pool-clean;consumer;app-control;wifi;obstacle-avoidance;autonomous-nav,,,,,,,,https://www.wybotpool.com/products/wybot-s2-pro,images/outdoor/wybot-s2-pro.webp,,,First pool robot with in-water inductive charging dock and auto-return.,2024
outdoor,Wybot,C1,~430 USD,8 kg,medium,150 min,150 min,pool-clean;consumer;app-control;autonomous-nav,,,,,,,,https://www.wybotpool.com/products/wybot-c1-cordless-robotic-pool-cleaner,images/outdoor/wybot-c1.webp,,,"Affordable cordless cleaner for floors, walls and waterline with app.",2024
outdoor,Wybot,F1 Solar Skimmer,~300 USD,,medium,480 min,480 min,pool-clean;consumer;autonomous-nav,,,,,,,,https://www.wybotpool.com/products/wybot-f1-solar-powered-robotic-pool-surface-skimmer-cleaner,images/outdoor/wybot-f1-solar-skimmer.webp,,,Solar-powered surface skimmer with 7L basket and all-day smart cycles.,2025
outdoor,Degrii,Zima Pro,Not disclosed,,medium,210 min,210 min,pool-clean;consumer;app-control;mapping;autonomous-nav,,,,,,,,https://degrii.com/pages/degrii-zima-pro,images/outdoor/degrii-zima-pro.webp,,,Ultrasonic-radar mapping cleaner for pools up to 5000 sq ft.,2023
outdoor,Genkinno,P1,499 USD,4.4 kg,small,240 min,240 min,pool-clean;consumer;autonomous-nav,,,,,,,,https://genkinno.com/products/genkinno-p1-robotic-pool-cleaner,images/outdoor/genkinno-p1.webp,,,Lightweight cordless floor cleaner with smart routing and remote control.,2023
outdoor,Seauto,Crab,429 USD,,medium,150 min,150 min,pool-clean;consumer;autonomous-nav,,,,,,,,https://seautorobots.com/products/crab-cordless-robotic-pool-vacuum-cleaner,images/outdoor/seauto-crab.webp,,,"Wall-climbing sonar-navigation pool vacuum, no app setup required.",2024
outdoor,Neubility,Neubie,Not disclosed,60 kg,61.6x60.6x67 cm,480 min,480 min,delivery;autonomous;commercial;camera-based;last-mile;outdoor;autonomous-nav,,,40 kg,2 m/s,,,,https://www.neubility.co.kr/en/,images/outdoor/neubility-neubie.webp,,,Lidar-free camera-based sidewalk delivery robot carrying up to 40 kg.,2021
