category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
robotic-arm,Waveshare,RoArm-M2-S,~176 USD,850 g,small,,,educational;programmable;dev-platform;maker;robotic-arm,gripper,4,0.5 kg,Not disclosed,,,,https://www.waveshare.com/wiki/RoArm-M2-S,images/robotic-arm/waveshare-roarm-m2-s.webp,,,ESP32 desktop 4-DoF arm with omnidirectional base and WiFi control.,2024
robotic-arm,Annin Robotics,AR4 MK4,~1189 USD,Not disclosed,medium,,,educational;programmable;dev-platform;research;robotic-arm,gripper,6,1 kg,Not disclosed,,,,https://anninrobotics.com/product-page/ar4-mk4-robot-combo-kit/,images/robotic-arm/annin-robotics-ar4-mk4.webp,,,Open-source 6-axis desktop arm kit with 600mm reach for makers.,2025
robotic-arm,The Robot Studio,SO-101,~100 USD,Not disclosed,small,,,educational;programmable;ai-powered;research;robotic-arm,gripper,6,Not disclosed,Not disclosed,,,,https://github.com/TheRobotStudio/SO-ARM100,images/robotic-arm/the-robot-studio-so-101.webp,,,Low-cost open-source 6-DoF arm for Hugging Face LeRobot AI training.,2025
robotic-arm,SunFounder,PiArm,Not disclosed,Not disclosed,small,,,educational;programmable;stem;dev-platform;robotic-arm,gripper,4,Not disclosed,Not disclosed,,,,https://www.sunfounder.com/products/piarm_robot_kit,images/robotic-arm/sunfounder-piarm.webp,,,4-DoF Raspberry Pi arm with joystick control and Blockly programming.,2022
robotic-arm,Adeept,5-DOF Robotic Arm,Not disclosed,Not disclosed,small,,,educational;programmable;stem;dev-platform;robotic-arm,gripper,5,Not disclosed,Not disclosed,,,,https://www.adeept.com/robotic-arm-kit-rpi-black_p0368.html,images/robotic-arm/adeept-5-dof-robotic-arm.webp,,,DIY 5-axis Raspberry Pi arm with Python code for STEM learning.,
robotic-arm,UFACTORY,xArm 6,9500 USD,12.2 kg,small,,,robotic-arm;dev-platform;research;programmable;industrial;commercial,gripper,6,5 kg,1.0 m/s,,,,https://www.ufactory.us/product/ufactory-xarm-6,images/robotic-arm/ufactory-xarm-6.webp,,,Six-axis desktop cobot arm with 5 kg payload and 0.1mm repeatability.,2019
robotic-arm,Nala Robotics,Nala Chef,Not disclosed,Not disclosed,large,,,cooking;kitchen;commercial;service;ai-powered;robotic-arm,gripper,,,,,,,https://nalarobotics.com/nala-chef.html,images/robotic-arm/nala-robotics-nala-chef.webp,,,Multi-cuisine robotic chef using machine learning to replicate recipes precisely.,2021
robotic-arm,Rozum Robotics,Rozum Cafe,Not disclosed,Not disclosed,medium,,,barista;cooking;commercial;service;robotic-arm,gripper,,,,,,,https://cafe.rozum.com/,images/robotic-arm/rozum-robotics-rozum-cafe.webp,,,Robotic barista arm brewing over 400 specialty coffees per day.,2019
robotic-arm,Cafe X Technologies,Cafe X Robotic Barista,Not disclosed,Not disclosed,large,,,barista;cooking;commercial;service;robotic-arm,gripper,,,,,,,https://cafexapp.com/,images/robotic-arm/cafe-x-technologies-cafe-x-robotic-barista.webp,,,Kiosk robotic arm barista crafting espresso drinks in seconds.,2017
robotic-arm,PAZZI,Pizzaiolo Robot,Not disclosed,Not disclosed,large,,,cooking;kitchen;commercial;service;ai-powered;robotic-arm,gripper,,,,,,,https://www.pazzipizza.com/,images/robotic-arm/pazzi-pizzaiolo-robot.webp,,,"Autonomous robotic pizzeria making, baking and slicing pizzas without staff.",2019
robotic-arm,Niska,Robotic Gelato Bar,Not disclosed,Not disclosed,medium,,,cooking;kitchen;commercial;service;ai-powered;robotic-arm,gripper,,,,,,,https://niska.com.au/,images/robotic-arm/niska-robotic-gelato-bar.webp,,,Six-axis robotic kiosk serving customizable gelato and ice cream.,2019
robotic-arm,SenseRobot,SenseRobot Chess,~712 USD,Not disclosed,medium,,,ai-powered;educational;companion;chess;consumer;robotic-arm,gripper,,,,,,,https://www.senserobotchess.com/,images/robotic-arm/senserobot-senserobot-chess.webp,,,AI chess-playing robot arm with 26-level adaptive opponent for home,2024
